DATE,PRODUIT,QUANTITE
2022-07-02 00:00:00,PR,0
2022-07-02 00:00:00,PR1,4304
2022-07-02 00:00:00,PR2,4293
2022-07-02 00:00:00,PR3,1401
2022-07-02 00:00:00,T03,3464
2022-07-02 00:00:00,T04,4877
2022-07-02 00:00:00,T05,3764
2022-07-02 00:00:00,T06,2637
2022-07-02 00:00:00,T07,1075
2022-07-02 00:00:00,T08,0
2022-07-03 00:00:00,PR,0
2022-07-03 00:00:00,PR1,3551
2022-07-03 00:00:00,PR2,2867
2022-07-03 00:00:00,PR3,1366
2022-07-03 00:00:00,T03,4254
2022-07-03 00:00:00,T04,5944
2022-07-03 00:00:00,T05,4183
2022-07-03 00:00:00,T06,2871
2022-07-03 00:00:00,T07,815
2022-07-03 00:00:00,T08,0
2022-07-04 00:00:00,PR,0
2022-07-04 00:00:00,PR1,2611
2022-07-04 00:00:00,PR2,1468
2022-07-04 00:00:00,PR3,591
2022-07-04 00:00:00,T03,3653
2022-07-04 00:00:00,T04,5274
2022-07-04 00:00:00,T05,3952
2022-07-04 00:00:00,T06,2733
2022-07-04 00:00:00,T07,663
2022-07-04 00:00:00,T08,0
2022-07-05 00:00:00,PR,0
2022-07-05 00:00:00,PR1,1660
2022-07-05 00:00:00,PR2,1669
2022-07-05 00:00:00,PR3,829
2022-07-05 00:00:00,T03,2215
2022-07-05 00:00:00,T04,3210
2022-07-05 00:00:00,T05,2818
2022-07-05 00:00:00,T06,2209
2022-07-05 00:00:00,T07,640
2022-07-05 00:00:00,T08,0
2022-07-06 00:00:00,PR,0
2022-07-06 00:00:00,PR1,1099
2022-07-06 00:00:00,PR2,1137
2022-07-06 00:00:00,PR3,491
2022-07-06 00:00:00,T03,1609
2022-07-06 00:00:00,T04,2360
2022-07-06 00:00:00,T05,2214
2022-07-06 00:00:00,T06,1726
2022-07-06 00:00:00,T07,506
2022-07-06 00:00:00,T08,0
2022-07-07 00:00:00,PR,0
2022-07-07 00:00:00,PR1,725
2022-07-07 00:00:00,PR2,924
2022-07-07 00:00:00,PR3,382
2022-07-07 00:00:00,T03,1268
2022-07-07 00:00:00,T04,1672
2022-07-07 00:00:00,T05,1743
2022-07-07 00:00:00,T06,1510
2022-07-07 00:00:00,T07,590
2022-07-07 00:00:00,T08,0
2022-07-08 00:00:00,PR,0
2022-07-08 00:00:00,PR1,555
2022-07-08 00:00:00,PR2,790
2022-07-08 00:00:00,PR3,415
2022-07-08 00:00:00,T03,1021
2022-07-08 00:00:00,T04,1523
2022-07-08 00:00:00,T05,1850
2022-07-08 00:00:00,T06,2126
2022-07-08 00:00:00,T07,607
2022-07-08 00:00:00,T08,0
2022-07-09 00:00:00,PR,0
2022-07-09 00:00:00,PR1,370
2022-07-09 00:00:00,PR2,513
2022-07-09 00:00:00,PR3,345
2022-07-09 00:00:00,T03,837
2022-07-09 00:00:00,T04,1130
2022-07-09 00:00:00,T05,1349
2022-07-09 00:00:00,T06,1387
2022-07-09 00:00:00,T07,443
2022-07-09 00:00:00,T08,0
2022-07-10 00:00:00,PR,0
2022-07-10 00:00:00,PR1,400
2022-07-10 00:00:00,PR2,315
2022-07-10 00:00:00,PR3,285
2022-07-10 00:00:00,T03,745
2022-07-10 00:00:00,T04,996
2022-07-10 00:00:00,T05,1055
2022-07-10 00:00:00,T06,1179
2022-07-10 00:00:00,T07,400
2022-07-10 00:00:00,T08,0
2022-07-11 00:00:00,PR,0
2022-07-11 00:00:00,PR1,264
2022-07-11 00:00:00,PR2,497
2022-07-11 00:00:00,PR3,233
2022-07-11 00:00:00,T03,555
2022-07-11 00:00:00,T04,729
2022-07-11 00:00:00,T05,848
2022-07-11 00:00:00,T06,931
2022-07-11 00:00:00,T07,293
2022-07-11 00:00:00,T08,0
2022-07-12 00:00:00,PR,0
2022-07-12 00:00:00,PR1,274
2022-07-12 00:00:00,PR2,433
2022-07-12 00:00:00,PR3,182
2022-07-12 00:00:00,T03,515
2022-07-12 00:00:00,T04,743
2022-07-12 00:00:00,T05,661
2022-07-12 00:00:00,T06,759
2022-07-12 00:00:00,T07,252
2022-07-12 00:00:00,T08,0
2022-07-13 00:00:00,PR,0
2022-07-13 00:00:00,PR1,241
2022-07-13 00:00:00,PR2,652
2022-07-13 00:00:00,PR3,404
2022-07-13 00:00:00,T03,526
2022-07-13 00:00:00,T04,641
2022-07-13 00:00:00,T05,539
2022-07-13 00:00:00,T06,706
2022-07-13 00:00:00,T07,319
2022-07-13 00:00:00,T08,0
2022-07-14 00:00:00,PR,0
2022-07-14 00:00:00,PR1,172
2022-07-14 00:00:00,PR2,525
2022-07-14 00:00:00,PR3,300
2022-07-14 00:00:00,T03,413
2022-07-14 00:00:00,T04,469
2022-07-14 00:00:00,T05,502
2022-07-14 00:00:00,T06,683
2022-07-14 00:00:00,T07,280
2022-07-14 00:00:00,T08,0
2022-07-15 00:00:00,PR,0
2022-07-15 00:00:00,PR1,127
2022-07-15 00:00:00,PR2,355
2022-07-15 00:00:00,PR3,160
2022-07-15 00:00:00,T03,245
2022-07-15 00:00:00,T04,347
